Starting power measurement at 1ms intervals...
Number of GPUs: 1
Number of GPUs: 1
Measured Type:  , Func Timestamp: 1970-01-01 00:00:00.000000 , CPU Power: 0.000000 W , Interval: 0 us ,Call: 0 , 
Measured Type:  , Func Timestamp: 1970-01-01 00:00:00.000000 , GPU Power: 0.000000 W , Interval: 0 us ,Call: 0 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.354334 , CPU Power: 76.489265 W , Interval: 1071 us ,Call: 1 , 
Measured Type:  , Func Timestamp: 1970-01-01 00:00:00.000000 , GPU Power: 0.000000 W , Interval: 0 us ,Call: 0 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.355318 , CPU Power: 91.577232 W , Interval: 984 us ,Call: 2 , 
Measured Type:  , Func Timestamp: 1970-01-01 00:00:00.000000 , GPU Power: 0.000000 W , Interval: 0 us ,Call: 0 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.356318 , CPU Power: 65.536003 W , Interval: 1000 us ,Call: 3 , 
Measured Type:  , Func Timestamp: 1970-01-01 00:00:00.000000 , GPU Power: 0.000000 W , Interval: 0 us ,Call: 0 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.357318 , CPU Power: 90.202202 W , Interval: 999 us ,Call: 4 , 
Measured Type:  , Func Timestamp: 1970-01-01 00:00:00.000000 , GPU Power: 0.000000 W , Interval: 0 us ,Call: 0 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.358318 , CPU Power: 73.727997 W , Interval: 1000 us ,Call: 5 , 
Measured Type:  , Func Timestamp: 1970-01-01 00:00:00.000000 , GPU Power: 0.000000 W , Interval: 0 us ,Call: 0 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.359318 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 6 , 
Measured Type:  , Func Timestamp: 1970-01-01 00:00:00.000000 , GPU Power: 0.000000 W , Interval: 0 us ,Call: 0 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.360318 , CPU Power: 73.727997 W , Interval: 1000 us ,Call: 7 , 
Measured Type:  , Func Timestamp: 1970-01-01 00:00:00.000000 , GPU Power: 0.000000 W , Interval: 0 us ,Call: 0 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.361317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 8 , 
Measured Type:  , Func Timestamp: 1970-01-01 00:00:00.000000 , GPU Power: 0.000000 W , Interval: 0 us ,Call: 0 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.362318 , CPU Power: 81.919998 W , Interval: 1000 us ,Call: 9 , 
Measured Type:  , Func Timestamp: 1970-01-01 00:00:00.000000 , GPU Power: 0.000000 W , Interval: 0 us ,Call: 0 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.363318 , CPU Power: 73.727997 W , Interval: 1000 us ,Call: 10 , 
Measured Type:  , Func Timestamp: 1970-01-01 00:00:00.000000 , GPU Power: 0.000000 W , Interval: 0 us ,Call: 0 , 
